order_id,customer_id,order_date,meal_category,dietary_preference,order_value
156,27,2024-02-04,Dinner,None,20.41
157,27,2024-01-28,Breakfast,None,44.74
158,28,2023-12-05,Lunch,Keto,33.44
159,28,2023-12-16,Lunch,Keto,43.42
160,29,2024-03-10,Lunch,Keto,31.66
161,29,2024-03-01,Dinner,Keto,46.66
162,29,2024-02-16,Breakfast,Keto,39.6
163,29,2024-03-02,Dinner,Keto,25.33
164,29,2024-02-18,Dinner,Keto,27.18
165,29,2024-02-18,Dinner,Keto,19.2
166,29,2024-02-13,Breakfast,Keto,40.2
167,29,2024-03-12,Breakfast,Keto,38.83
168,29,2024-03-03,Breakfast,Keto,29.03
169,30,2024-11-04,Breakfast,None,40.41
170,30,2024-11-23,Lunch,None,31.91
171,30,2024-11-19,Dinner,None,36.51
172,30,2024-11-02,Lunch,None,16.26
173,31,2024-06-08,Dinner,Vegetarian,31.31
174,31,2024-06-08,Dinner,Vegetarian,43.16
175,31,2024-06-09,Breakfast,Vegetarian,14.79
176,32,2024-04-11,Dinner,Gluten-Free,26.77
177,32,2024-04-06,Lunch,Gluten-Free,18.8
178,32,2024-04-08,Breakfast,Gluten-Free,25.13
179,32,2024-04-05,Lunch,Gluten-Free,27.32
180,32,2024-04-08,Dinner,Gluten-Free,28.63
181,32,2024-04-07,Breakfast,Gluten-Free,33.65
182,32,2024-04-07,Breakfast,Gluten-Free,19.5
183,32,2024-04-07,Lunch,Gluten-Free,19.82
184,33,2024-11-02,Dinner,Vegetarian,43.9
185,33,2024-11-17,Dinner,Vegetarian,28.05
186,33,2024-11-05,Breakfast,Vegetarian,11.55
187,33,2024-11-06,Lunch,Vegetarian,11.93
188,33,2024-11-19,Lunch,Vegetarian,45.99
189,33,2024-11-05,Lunch,Vegetarian,23.37
190,34,2024-06-28,Dinner,Gluten-Free,24.59
191,34,2024-07-02,Lunch,Gluten-Free,42.89
192,34,2024-07-02,Lunch,Gluten-Free,28.42
193,34,2024-06-28,Breakfast,Gluten-Free,45.18
194,34,2024-06-29,Dinner,Gluten-Free,12.41
195,34,2024-06-26,Breakfast,Gluten-Free,16.82
196,35,2024-05-17,Breakfast,Vegan,35.76
197,35,2024-05-16,Breakfast,Vegan,17.64
198,35,2024-05-21,Breakfast,Vegan,28.31
199,35,2024-05-15,Breakfast,Vegan,26.21
200,35,2024-05-15,Breakfast,Vegan,17.69
201,35,2024-05-18,Dinner,Vegan,24.79
202,35,2024-05-17,Dinner,Vegan,23.59
203,35,2024-05-17,Dinner,Vegan,20.2
204,35,2024-05-20,Lunch,Vegan,25.15
205,35,2024-05-21,Breakfast,Vegan,10.26
206,36,2024-03-27,Breakfast,Vegetarian,39.83
207,36,2024-03-23,Dinner,Vegetarian,43.5
208,36,2024-03-26,Breakfast,Vegetarian,16.33
209,36,2024-03-25,Dinner,Vegetarian,23.1
210,36,2024-03-21,Dinner,Vegetarian,28.87
211,36,2024-03-22,Breakfast,Vegetarian,35.76
212,36,2024-03-21,Lunch,Vegetarian,19.06
213,37,2024-08-26,Breakfast,Keto,22.64
214,37,2024-08-30,Breakfast,Keto,34.56
215,37,2024-08-01,Dinner,Keto,45.39
216,37,2024-08-05,Breakfast,Keto,38.01
217,37,2024-08-23,Lunch,Keto,48.52
218,37,2024-08-07,Lunch,Keto,17.08
219,37,2024-08-19,Dinner,Keto,25.4
220,37,2024-08-25,Dinner,Keto,18.06
221,37,2024-08-26,Dinner,Keto,48.89
222,37,2024-08-18,Dinner,Keto,27.51
223,38,2024-06-10,Dinner,Keto,48.85
224,38,2024-06-05,Breakfast,Keto,12.41
225,38,2024-06-10,Dinner,Keto,42.64
226,38,2024-06-07,Dinner,Keto,26.07
227,38,2024-06-04,Lunch,Keto,11.83
228,38,2024-06-09,Breakfast,Keto,10.19
229,38,2024-06-10,Lunch,Keto,42.94
230,38,2024-06-07,Breakfast,Keto,40.77
231,39,2024-03-26,Dinner,Keto,10.18
232,39,2024-03-19,Lunch,Keto,23.66
233,39,2024-04-13,Lunch,Keto,11.65
234,40,2024-03-27,Lunch,Vegetarian,18.08
235,40,2024-03-23,Dinner,Vegetarian,30.06
236,40,2024-03-27,Dinner,Vegetarian,49.49
237,40,2024-03-22,Dinner,Vegetarian,11.57
238,40,2024-03-25,Breakfast,Vegetarian,21.61
239,40,2024-03-28,Lunch,Vegetarian,31.83
240,41,2024-09-01,Breakfast,None,23.32
241,41,2024-09-17,Dinner,None,25.2
242,41,2024-09-07,Breakfast,None,44.19
243,41,2024-08-29,Dinner,None,21.12
244,41,2024-09-20,Lunch,None,27.08
245,41,2024-09-08,Lunch,None,21.83
246,41,2024-09-03,Lunch,None,17.77
247,41,2024-09-24,Dinner,None,36.4
248,41,2024-09-18,Breakfast,None,27.79
249,41,2024-09-05,Breakfast,None,16.86
250,42,2024-09-21,Lunch,Vegetarian,45.51
251,42,2024-09-29,Lunch,Vegetarian,32.19
252,42,2024-09-29,Dinner,Vegetarian,20.83
253,42,2024-09-23,Lunch,Vegetarian,47.12
254,42,2024-09-28,Breakfast,Vegetarian,34.35
255,43,2024-09-27,Breakfast,None,40.13
256,43,2024-09-30,Breakfast,None,43.37
257,43,2024-10-03,Dinner,None,49.24
258,43,2024-09-27,Breakfast,None,11.13
259,44,2024-08-16,Lunch,Vegan,48.35
260,44,2024-08-11,Lunch,Vegan,20.31
261,44,2024-07-31,Dinner,Vegan,46.94
262,44,2024-08-01,Breakfast,Vegan,22.87
263,44,2024-08-13,Lunch,Vegan,21.73
264,44,2024-08-18,Dinner,Vegan,41.35
265,44,2024-08-18,Dinner,Vegan,27.86
266,44,2024-08-26,Breakfast,Vegan,27.9
267,45,2024-11-08,Lunch,Vegetarian,32.57
268,45,2024-10-23,Dinner,Vegetarian,15.32
269,45,2024-10-13,Dinner,Vegetarian,13.34
270,45,2024-10-12,Dinner,Vegetarian,35.81
271,45,2024-11-08,Breakfast,Vegetarian,40.8
272,45,2024-10-29,Lunch,Vegetarian,21.51
273,45,2024-10-13,Dinner,Vegetarian,45.11
274,45,2024-11-06,Lunch,Vegetarian,16.36
275,45,2024-10-30,Breakfast,Vegetarian,36.89
276,46,2024-11-01,Lunch,Vegetarian,25.66
277,46,2024-11-01,Breakfast,Vegetarian,35.78
278,46,2024-10-27,Dinner,Vegetarian,49.85
279,46,2024-10-27,Lunch,Vegetarian,37.12
280,46,2024-10-27,Dinner,Vegetarian,29.09
281,46,2024-10-27,Breakfast,Vegetarian,28.69
282,46,2024-10-30,Breakfast,Vegetarian,34.49
283,46,2024-11-02,Lunch,Vegetarian,19.07
284,47,2024-07-17,Breakfast,Keto,34.19
285,47,2024-07-22,Breakfast,Keto,47.94
286,47,2024-07-28,Lunch,Keto,24.29
287,47,2024-07-22,Lunch,Keto,20.08
288,48,2024-04-04,Breakfast,None,22.63
289,48,2024-04-24,Lunch,None,11.43
290,48,2024-04-25,Dinner,None,14.95
291,48,2024-04-12,Dinner,None,46.12
292,48,2024-04-14,Breakfast,None,32.74
293,49,2024-11-23,Dinner,None,27.87
294,49,2024-11-10,Lunch,None,38.3
295,49,2024-11-26,Dinner,None,31.16
296,49,2024-11-16,Breakfast,None,21.6
297,49,2024-11-03,Breakfast,None,36.17
298,49,2024-11-22,Dinner,None,31.0
299,49,2024-11-24,Lunch,None,14.98
300,50,2024-03-16,Dinner,Vegetarian,40.5
301,50,2024-03-17,Breakfast,Vegetarian,42.98
302,50,2024-03-16,Breakfast,Vegetarian,41.81
303,50,2024-03-16,Breakfast,Vegetarian,10.15
304,50,2024-03-17,Breakfast,Vegetarian,45.33
305,50,2024-03-19,Lunch,Vegetarian,36.49
306,50,2024-03-15,Breakfast,Vegetarian,38.72
307,51,2024-07-17,Breakfast,None,49.25
308,51,2024-07-20,Dinner,None,30.72
309,51,2024-07-18,Lunch,None,37.72
310,51,2024-07-19,Dinner,None,20.78
311,51,2024-07-13,Lunch,None,24.25
312,51,2024-07-20,Lunch,None,36.29
313,51,2024-06-29,Dinner,None,29.99
314,52,2024-07-10,Breakfast,None,14.41
315,52,2024-07-10,Breakfast,None,46.54
316,52,2024-07-11,Lunch,None,48.07
317,52,2024-07-07,Dinner,None,49.67
318,52,2024-07-05,Lunch,None,13.24
319,52,2024-07-09,Lunch,None,45.12
320,53,2024-11-01,Dinner,Gluten-Free,39.93
321,53,2024-11-15,Breakfast,Gluten-Free,28.06
322,53,2024-11-07,Breakfast,Gluten-Free,39.64
323,53,2024-10-29,Breakfast,Gluten-Free,16.25
324,53,2024-11-15,Dinner,Gluten-Free,49.08
325,53,2024-10-30,Breakfast,Gluten-Free,35.69
326,53,2024-10-31,Lunch,Gluten-Free,19.79
327,53,2024-10-27,Breakfast,Gluten-Free,12.77
328,53,2024-10-29,Dinner,Gluten-Free,34.43
329,54,2024-10-21,Breakfast,Vegetarian,38.45
330,54,2024-10-22,Lunch,Vegetarian,48.48
331,54,2024-10-18,Dinner,Vegetarian,34.29
332,54,2024-10-19,Breakfast,Vegetarian,15.45
333,54,2024-10-17,Lunch,Vegetarian,49.29
334,54,2024-10-20,Dinner,Vegetarian,30.86
335,54,2024-10-20,Dinner,Vegetarian,31.44
336,54,2024-10-22,Dinner,Vegetarian,37.64
337,55,2024-09-07,Lunch,Gluten-Free,18.11
338,55,2024-08-15,Lunch,Gluten-Free,27.67
339,55,2024-09-06,Lunch,Gluten-Free,46.26
340,55,2024-08-14,Breakfast,Gluten-Free,45.51
341,55,2024-08-22,Lunch,Gluten-Free,17.13
342,56,2024-03-29,Lunch,None,46.69
343,56,2024-03-28,Dinner,None,46.72
344,56,2024-03-23,Breakfast,None,35.14
345,57,2024-08-16,Lunch,None,25.62
346,57,2024-08-11,Lunch,None,14.53
347,58,2024-06-11,Lunch,Keto,42.17
348,58,2024-06-19,Breakfast,Keto,43.74
349,58,2024-06-28,Dinner,Keto,23.02
350,58,2024-06-29,Lunch,Keto,40.94
351,58,2024-06-13,Breakfast,Keto,15.18
352,58,2024-06-05,Dinner,Keto,30.02
353,58,2024-06-05,Dinner,Keto,14.56
354,58,2024-06-22,Lunch,Keto,48.14
355,58,2024-06-26,Lunch,Keto,30.63
356,58,2024-06-02,Breakfast,Keto,22.62
357,59,2024-04-06,Lunch,Vegetarian,13.96
358,59,2024-04-06,Dinner,Vegetarian,44.21
359,59,2024-04-08,Breakfast,Vegetarian,47.05
360,59,2024-04-06,Breakfast,Vegetarian,12.61
361,59,2024-04-05,Lunch,Vegetarian,45.72
362,59,2024-04-04,Dinner,Vegetarian,43.35
363,59,2024-04-05,Lunch,Vegetarian,38.29
364,60,2024-03-09,Lunch,Vegan,19.72
365,60,2024-02-19,Breakfast,Vegan,44.38
366,60,2024-02-21,Breakfast,Vegan,15.89
367,60,2024-02-20,Lunch,Vegan,17.76
368,60,2024-03-08,Breakfast,Vegan,22.32
369,60,2024-03-10,Dinner,Vegan,43.44
370,60,2024-02-13,Dinner,Vegan,16.7
371,60,2024-03-03,Breakfast,Vegan,40.71
372,60,2024-03-03,Lunch,Vegan,39.55
373,60,2024-02-20,Lunch,Vegan,11.7
374,61,2024-08-27,Breakfast,Vegan,32.39
375,61,2024-08-05,Breakfast,Vegan,13.0
376,61,2024-08-19,Dinner,Vegan,42.44
377,61,2024-08-15,Breakfast,Vegan,49.2
378,61,2024-08-01,Breakfast,Vegan,28.99
379,62,2024-03-21,Lunch,Gluten-Free,34.54
380,62,2024-03-06,Lunch,Gluten-Free,37.94
381,62,2024-03-19,Breakfast,Gluten-Free,16.37
382,62,2024-03-19,Dinner,Gluten-Free,44.77
383,62,2024-03-20,Dinner,Gluten-Free,10.69
384,62,2024-03-15,Breakfast,Gluten-Free,22.34
385,62,2024-03-11,Breakfast,Gluten-Free,35.56
386,62,2024-03-30,Lunch,Gluten-Free,13.83
387,62,2024-03-12,Dinner,Gluten-Free,47.97
388,63,2024-11-16,Lunch,Vegetarian,17.59
389,63,2024-11-17,Dinner,Vegetarian,19.46
390,63,2024-11-12,Lunch,Vegetarian,45.75
391,63,2024-11-14,Lunch,Vegetarian,49.96
392,63,2024-11-17,Lunch,Vegetarian,49.91
393,63,2024-11-15,Dinner,Vegetarian,32.36
394,63,2024-11-16,Dinner,Vegetarian,33.11
395,63,2024-11-13,Breakfast,Vegetarian,21.53
396,63,2024-11-13,Dinner,Vegetarian,14.11
397,63,2024-11-15,Dinner,Vegetarian,12.75
398,64,2024-10-18,Breakfast,Vegan,28.64
399,64,2024-09-27,Lunch,Vegan,48.88
400,65,2024-03-17,Breakfast,Vegetarian,46.0
401,65,2024-03-13,Breakfast,Vegetarian,45.14
402,65,2024-03-18,Breakfast,Vegetarian,36.84
403,65,2024-03-16,Lunch,Vegetarian,28.21
404,65,2024-03-15,Lunch,Vegetarian,31.45
405,65,2024-03-15,Breakfast,Vegetarian,42.19
406,66,2024-03-23,Dinner,Keto,13.42
407,66,2024-03-22,Dinner,Keto,32.86
408,66,2024-03-21,Breakfast,Keto,32.2
409,66,2024-03-25,Lunch,Keto,40.22
410,66,2024-03-24,Dinner,Keto,10.25
411,66,2024-03-20,Breakfast,Keto,25.22
412,66,2024-03-22,Breakfast,Keto,12.54
413,66,2024-03-23,Breakfast,Keto,30.2
414,67,2024-03-26,Dinner,Gluten-Free,24.82
415,67,2024-03-15,Dinner,Gluten-Free,39.03
416,67,2024-03-23,Dinner,Gluten-Free,31.47
417,67,2024-03-24,Lunch,Gluten-Free,20.5
418,67,2024-03-09,Dinner,Gluten-Free,39.48
419,67,2024-03-05,Dinner,Gluten-Free,37.59
420,67,2024-03-25,Lunch,Gluten-Free,49.04
421,68,2024-08-21,Lunch,Keto,22.15
422,68,2024-08-16,Breakfast,Keto,44.83
423,68,2024-08-19,Lunch,Keto,32.05
424,68,2024-08-19,Lunch,Keto,13.04
425,68,2024-08-18,Breakfast,Keto,29.82
426,68,2024-08-17,Lunch,Keto,39.84
427,68,2024-08-18,Dinner,Keto,16.73
428,68,2024-08-17,Breakfast,Keto,42.48
429,69,2024-03-31,Breakfast,Keto,35.33
430,69,2024-04-15,Breakfast,Keto,29.53
431,69,2024-04-11,Lunch,Keto,23.72
432,69,2024-04-07,Lunch,Keto,25.35
433,69,2024-04-04,Lunch,Keto,48.93
434,69,2024-03-28,Breakfast,Keto,29.2
435,69,2024-04-02,Breakfast,Keto,49.55
436,69,2024-04-03,Breakfast,Keto,15.65
437,69,2024-04-16,Breakfast,Keto,32.25
438,70,2024-05-25,Breakfast,Gluten-Free,43.41
439,70,2024-05-23,Breakfast,Gluten-Free,18.51
440,70,2024-05-23,Dinner,Gluten-Free,18.32
441,70,2024-05-19,Lunch,Gluten-Free,11.43
442,70,2024-05-22,Lunch,Gluten-Free,14.35
443,70,2024-05-19,Breakfast,Gluten-Free,16.43
444,71,2024-10-18,Dinner,Vegan,16.2
445,71,2024-10-24,Breakfast,Vegan,46.7
446,71,2024-11-03,Lunch,Vegan,29.42
447,71,2024-10-07,Dinner,Vegan,42.76
448,71,2024-11-02,Breakfast,Vegan,12.81
449,71,2024-10-30,Breakfast,Vegan,44.45
450,72,2024-05-23,Breakfast,None,48.44
451,72,2024-05-13,Breakfast,None,24.66
452,72,2024-05-19,Dinner,None,43.05
453,72,2024-05-24,Breakfast,None,24.51
454,72,2024-06-04,Lunch,None,48.49
455,73,2024-02-20,Breakfast,Vegetarian,11.95
456,73,2024-02-21,Breakfast,Vegetarian,24.88
457,73,2024-02-18,Dinner,Vegetarian,46.85
458,73,2024-02-19,Lunch,Vegetarian,13.93
459,73,2024-02-23,Lunch,Vegetarian,37.16
460,73,2024-02-17,Dinner,Vegetarian,22.9
461,74,2024-09-07,Lunch,Vegetarian,48.08
462,74,2024-09-02,Breakfast,Vegetarian,27.55
463,74,2024-09-15,Lunch,Vegetarian,34.3
464,74,2024-09-08,Dinner,Vegetarian,36.65
465,74,2024-08-27,Breakfast,Vegetarian,13.24
466,74,2024-09-13,Breakfast,Vegetarian,19.99
467,74,2024-08-30,Dinner,Vegetarian,41.42
468,75,2024-06-10,Breakfast,Vegan,31.73
469,75,2024-06-15,Dinner,Vegan,19.96
470,75,2024-06-15,Dinner,Vegan,45.62
471,75,2024-06-10,Lunch,Vegan,13.21
472,75,2024-06-10,Breakfast,Vegan,34.0
473,76,2023-12-20,Breakfast,None,40.5
474,76,2023-12-20,Breakfast,None,36.91
475,76,2023-12-07,Breakfast,None,40.25
476,76,2023-12-22,Breakfast,None,24.21
477,76,2023-12-12,Dinner,None,32.38
478,76,2024-01-03,Dinner,None,38.04
479,76,2024-01-02,Breakfast,None,11.53
480,76,2023-12-19,Dinner,None,46.12
481,76,2023-12-11,Breakfast,None,45.12
482,77,2024-03-24,Dinner,Vegetarian,21.77
483,77,2024-03-27,Dinner,Vegetarian,12.55
484,77,2024-03-25,Lunch,Vegetarian,11.13
485,77,2024-03-24,Dinner,Vegetarian,27.78
486,77,2024-03-21,Breakfast,Vegetarian,27.1
487,77,2024-03-27,Lunch,Vegetarian,37.56
488,78,2024-01-17,Lunch,None,26.13
489,78,2024-01-16,Dinner,None,45.2
490,78,2024-01-17,Lunch,None,29.5
491,78,2024-01-12,Dinner,None,49.79
492,78,2024-01-11,Breakfast,None,30.38
493,78,2024-01-13,Breakfast,None,23.7
494,78,2024-01-11,Breakfast,None,23.4
495,79,2024-08-17,Dinner,None,48.04
496,79,2024-08-15,Dinner,None,25.71
497,79,2024-08-18,Dinner,None,44.36
498,79,2024-08-19,Breakfast,None,32.8
499,79,2024-08-17,Dinner,None,11.2
500,79,2024-07-25,Dinner,None,18.18
501,79,2024-08-04,Lunch,None,15.26
502,79,2024-08-15,Breakfast,None,30.42
503,79,2024-07-24,Breakfast,None,18.34
504,79,2024-08-07,Breakfast,None,28.26
505,80,2024-09-10,Lunch,Gluten-Free,35.14
506,80,2024-09-08,Lunch,Gluten-Free,26.73
507,80,2024-09-06,Dinner,Gluten-Free,26.42
508,80,2024-09-11,Lunch,Gluten-Free,49.13
509,80,2024-09-07,Breakfast,Gluten-Free,16.23
510,80,2024-09-07,Breakfast,Gluten-Free,42.46
511,81,2023-12-23,Lunch,Vegetarian,18.86
512,81,2023-12-20,Lunch,Vegetarian,35.8
513,81,2023-12-18,Dinner,Vegetarian,30.97
514,81,2023-12-18,Breakfast,Vegetarian,35.53
515,81,2023-12-24,Dinner,Vegetarian,43.7
516,81,2023-12-18,Dinner,Vegetarian,46.56
517,82,2024-04-25,Lunch,Keto,14.14
518,82,2024-04-23,Lunch,Keto,44.1
519,82,2024-04-21,Lunch,Keto,40.97
520,83,2024-06-09,Lunch,Keto,15.8
521,83,2024-06-09,Lunch,Keto,25.82
522,83,2024-06-13,Lunch,Keto,35.31
523,83,2024-06-12,Dinner,Keto,41.15
524,83,2024-06-14,Breakfast,Keto,31.91
525,84,2024-09-27,Lunch,Vegan,30.6
526,85,2024-11-17,Breakfast,Gluten-Free,41.44
527,85,2024-11-12,Dinner,Gluten-Free,26.1
528,86,2024-08-13,Dinner,None,36.19
529,86,2024-08-13,Breakfast,None,11.06
530,86,2024-08-10,Dinner,None,26.55
531,86,2024-08-14,Breakfast,None,40.28
532,86,2024-08-12,Dinner,None,26.36
533,87,2024-04-11,Lunch,None,46.88
534,87,2024-04-10,Breakfast,None,27.31
535,87,2024-04-06,Dinner,None,43.41
536,87,2024-04-08,Lunch,None,33.12
537,87,2024-04-07,Lunch,None,48.61
538,87,2024-04-08,Lunch,None,10.73
539,87,2024-04-08,Breakfast,None,38.42
540,87,2024-04-08,Lunch,None,45.19
541,87,2024-04-08,Breakfast,None,46.42
542,88,2024-08-09,Dinner,Keto,16.15
543,88,2024-07-30,Lunch,Keto,32.07
544,89,2024-09-01,Dinner,None,20.66
545,89,2024-08-27,Dinner,None,23.6
546,89,2024-08-06,Lunch,None,45.11
547,89,2024-08-30,Breakfast,None,43.74
548,89,2024-08-11,Lunch,None,14.6
